FechaHora,"Velocidad","Direccion"
2020-01-01 01:46:09,"14.8757019","144.96902466"
2020-01-01 01:48:08,"13.30640984","139.79431152"
2020-01-01 01:48:11,"11.80818081","139.79431152"
2020-01-01 01:50:11,"13.46037865","132.87271118"
2020-01-01 01:50:16,"13.25903511","132.87271118"
2020-01-01 01:52:14,"13.77423668","140.92593384"
2020-01-01 01:52:19,"15.42051315","140.92593384"
2020-01-01 01:54:17,"17.90176964","149.63835144"
2020-01-01 01:54:20,"15.81727695","149.63835144"
2020-01-01 01:56:19,"16.80030441","151.39622498"
2020-01-01 01:56:23,"17.12008476","151.39622498"
2020-01-01 01:58:19,"16.89505577","148.93521118"
2020-01-01 01:58:26,"17.22667885","148.93521118"
2020-01-01 02:00:24,"15.69291782","137.47612"
2020-01-01 02:00:28,"15.71068382","137.47612"
2020-01-01 02:02:26,"15.53894997","150.33052063"
2020-01-01 02:02:30,"15.11257648","150.33052063"
2020-01-01 02:04:28,"12.37667847","138.78353882"
2020-01-01 02:04:33,"13.80384636","138.78353882"
2020-01-01 02:06:33,"12.96886444","143.99121094"
2020-01-01 02:06:36,"14.41971874","143.99121094"
2020-01-01 02:08:35,"15.50934029","145.91387939"
2020-01-01 02:08:58,"14.80463982","145.91387939"
2020-01-01 02:10:57,"15.71068382","150.24261475"
2020-01-01 02:11:00,"15.72844887","150.24261475"
2020-01-01 02:12:39,"15.29615402","155.95568848"
2020-01-01 02:13:01,"14.2361412","155.95568848"
2020-01-01 02:14:45,"15.30207539","154.626297"
2020-01-01 02:15:01,"12.1457262","154.626297"
2020-01-01 02:16:43,"13.52551937","145.08987427"
2020-01-01 02:17:13,"13.95781422","145.08987427"
2020-01-01 02:19:13,"15.11849785","146.90267944"
2020-01-01 02:19:16,"15.65146542","146.90267944"
2020-01-01 02:21:13,"16.46275902","143.65061951"
2020-01-01 02:21:19,"16.64041519","143.65061951"
2020-01-01 02:23:16,"13.19389534","132.46620178"
2020-01-01 02:23:21,"12.31746006","132.46620178"
2020-01-01 02:25:18,"15.39090347","142.61787415"
2020-01-01 02:25:21,"14.6269846","142.61787415"
2020-01-01 02:27:16,"15.0415144","144.58448792"
2020-01-01 02:27:22,"13.67356491","144.58448792"
2020-01-01 02:29:20,"13.88675213","139.56358337"
2020-01-01 02:29:23,"14.4789381","139.56358337"
2020-01-01 02:31:23,"14.59737492","136.54225159"
2020-01-01 02:31:28,"14.37826633","136.54225159"
2020-01-01 02:33:28,"13.99334526","139.54161072"
2020-01-01 02:33:31,"15.82319927","139.54161072"
2020-01-01 02:35:29,"11.85555553","141.51921082"
2020-01-01 02:35:32,"13.27087879","141.51921082"
2020-01-01 02:37:30,"12.1457262","142.69477844"
2020-01-01 02:37:35,"14.84017086","142.69477844"
2020-01-01 02:39:33,"13.35970688","137.64091492"
2020-01-01 02:39:38,"12.77344322","137.64091492"
2020-01-01 02:41:33,"10.07899857","132.85073853"
2020-01-01 02:41:39,"12.61947536","132.85073853"
2020-01-01 02:43:37,"11.62460327","140.11291504"
2020-01-01 02:43:43,"14.66251564","140.11291504"
2020-01-01 02:45:40,"11.57722855","132.78482056"
2020-01-01 02:45:46,"9.35061073","132.78482056"
2020-01-01 02:47:43,"12.69645882","132.89468384"
2020-01-01 02:47:46,"14.668437","136.75100708"
2020-01-01 02:49:42,"12.38852215","141.39836121"
2020-01-01 02:49:47,"13.21166039","138.93734741"
2020-01-01 02:51:46,"11.5239315","148.24304199"
2020-01-01 02:51:50,"11.27521324","144.28785706"
2020-01-01 02:53:49,"10.23296738","136.84988403"
2020-01-01 02:53:52,"10.71263695","140.69520569"
2020-01-01 02:55:46,"12.7260685","147.34214783"
2020-01-01 02:55:53,"11.81410217","147.59483337"
2020-01-01 02:57:53,"9.17887688","132.93862915"
2020-01-01 02:57:59,"9.09004879","145.63920593"
2020-01-01 02:59:58,"13.08137989","145.19973755"
2020-01-01 03:00:07,"11.81410217","147.49595642"
2020-01-01 03:02:06,"10.75409031","143.50779724"
2020-01-01 03:02:10,"10.31587315","145.04592896"
2020-01-01 03:04:07,"12.41813183","153.17605591"
2020-01-01 03:04:10,"11.32851028","143.3759613"
2020-01-01 03:06:08,"12.21678829","137.0696106"
2020-01-01 03:06:11,"10.33956051","147.08944702"
2020-01-01 03:08:11,"10.33363819","145.91387939"
2020-01-01 03:08:23,"10.76001263","145.91387939"
2020-01-01 03:10:21,"11.51801014","149.33073425"
2020-01-01 03:10:24,"10.45207596","149.33073425"
2020-01-01 03:12:22,"9.28547001","140.8710022"
2020-01-01 03:12:26,"8.20769215","140.8710022"
2020-01-01 03:14:26,"9.3742981","143.74949646"
2020-01-01 03:14:29,"11.34035397","143.74949646"
2020-01-01 03:16:28,"10.83699608","141.12368774"
2020-01-01 03:16:31,"11.5239315","141.12368774"
2020-01-01 03:18:29,"10.38693523","143.83740234"
2020-01-01 03:18:33,"10.8429184","143.83740234"
2020-01-01 03:20:38,"10.93174648","140.47547913"
2020-01-01 03:20:56,"12.3707571","140.47547913"
2020-01-01 03:22:56,"10.51129436","151.59397888"
2020-01-01 03:23:00,"10.67118454","151.59397888"
2020-01-01 03:24:59,"9.84212494","150.40742493"
2020-01-01 03:25:02,"12.20494461","150.40742493"
2020-01-01 03:26:40,"11.81410217","147.97937012"
2020-01-01 03:27:08,"11.97991467","147.97937012"
2020-01-01 03:29:06,"11.24560452","144.76028442"
2020-01-01 03:29:09,"11.50616646","144.76028442"
